datetime,x,y,z,gyrx,gyry,gyrz,magx,magy,magz,annotation,a,b
38.8,0.477294922,-0.714355469,0.371582031,0.0,-15.39611816,13.29040527,-14.99389499,-15.59365079,-56.97680098,0,,
38.8,0.453125,-0.687988281,0.379394531,0.0,-22.03369141,1.617431641,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.444335938,-0.608886719,0.395751953,0.0,-33.14208984,-6.469726563,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.503417969,-0.422363281,0.437011719,0.0,-53.28369141,-9.44519043,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.658203125,-0.16015625,0.426757813,0.0,-60.60791016,-6.652832031,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.765625,0.084716797,0.464111328,0.0,-50.47607422,-8.193969727,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.71875,0.174072266,0.623535156,0.0,-38.90991211,-15.50292969,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.517578125,0.057617188,0.717773438,0.0,-30.67016602,-41.48864746,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.452636719,-0.072753906,0.640869141,0.0,-43.12133789,-51.22375488,-14.99389499,-15.59365079,-56.97680098,0,,
38.9,0.650146484,-0.120849609,0.388427734,0.0,-71.76208496,-39.30664063,-14.99389499,-15.59365079,-56.97680098,0,,
39.0,1.276611328,0.180419922,0.468261719,0.0,-73.8067627,-3.021240234,-14.99389499,-15.59365079,-56.97680098,0,,
39.0,1.559082031,0.358642578,0.522949219,0.0,-57.99865723,3.356933594,-14.99389499,-15.59365079,-56.97680098,0,,
39.0,1.651611328,0.477050781,0.487060547,0.0,-36.74316406,0.793457031,-14.99389499,-15.59365079,-56.97680098,0,,
39.0,1.551025391,0.584472656,0.324462891,0.0,-14.7857666,-7.858276367,-14.99389499,-15.59365079,-56.97680098,0,,
39.0,1.428222656,0.643798828,0.250732422,0.0,-11.4440918,-12.4206543,-16.64322344,-19.34212454,-59.22588523,0,,
39.0,1.106201172,0.641845703,0.237060547,0.0,-7.186889648,-8.331298828,-16.64322344,-19.34212454,-59.22588523,0,,
39.0,0.969238281,0.584228516,0.2734375,0.0,-3.204345703,0.198364258,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.864257813,0.515869141,0.310058594,3.90625,-0.076293945,11.71875,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.741455078,0.428222656,0.349121094,0.0,-1.968383789,17.27294922,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.681884766,0.355957031,0.358886719,0.0,-6.393432617,20.90454102,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.572998047,0.170166016,0.335693359,0.0,-9.994506836,24.07836914,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.600097656,0.101806641,0.374511719,0.0,-13.61083984,31.03637695,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.7890625,0.063720703,0.450195313,0.0,-15.25878906,35.0189209,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,0.944580078,0.060058594,0.434326172,0.0,-14.09912109,34.46960449,-16.64322344,-19.34212454,-59.22588523,0,,
39.1,1.161621094,0.069824219,0.352539063,0.0,-7.873535156,25.36010742,-14.99389499,-20.39169719,-59.97557998,0,,
39.2,1.215332031,0.063232422,0.315917969,0.0,-4.577636719,20.44677734,-14.99389499,-20.39169719,-59.97557998,0,,
39.2,1.153320313,0.040039063,0.268798828,0.0,-4.013061523,12.60375977,-14.99389499,-20.39169719,-59.97557998,0,,
39.2,1.020751953,0.030029297,0.297851563,0.0,-6.820678711,6.652832031,-14.99389499,-20.39169719,-59.97557998,0,,
